📦 전체 시스템 포트/프로세스 진단 시작
HOSTNAME: k8s-worker01-dc1
IP: 100.100.100.211

PORT     PROTO  PID(s)        PROCESS(es)                   SERVICE
-------- ------ ------------- ----------------------------- ----------------
22       tcp    1161340       sshd                          ssh
53       tcp    649           systemd-resolve               domain
53       udp    649           systemd-resolve               domain
111      tcp    1,1993389     rpcbind,systemd               sunrpc
111      udp    1,1993389     rpcbind,systemd               sunrpc
179      tcp    6219          bird                          bgp
6443     tcp    1203,1244,1245 nginx                         (unknown)
8081     tcp    1203,1244,1245 nginx                         tproxy
9099     tcp    5861          calico-node                   (unknown)
9100     tcp    2694          node_exporter                 (unknown)
10050    tcp    698511        zabbix_agent2                 zabbix-agent
10248    tcp    1047          kubelet                       (unknown)
10249    tcp    2197          kube-proxy                    (unknown)
10250    tcp    1047          kubelet                       (unknown)
10256    tcp    2197          kube-proxy                    (unknown)
43785    tcp    768           containerd                    (unknown)
