📦 전체 시스템 포트/프로세스 진단 시작
HOSTNAME: k8s-worker02-dc1
IP: 100.100.100.212

PORT     PROTO  PID(s)        PROCESS(es)                   SERVICE
-------- ------ ------------- ----------------------------- ----------------
22       tcp    1072081       sshd                          ssh
53       tcp    655           systemd-resolve               domain
53       udp    655           systemd-resolve               domain
179      tcp    3081          bird                          bgp
6443     tcp    1191,1218,1219 nginx                         (unknown)
8081     tcp    1191,1218,1219 nginx                         tproxy
9099     tcp    2694          calico-node                   (unknown)
9100     tcp    1770          node_exporter                 (unknown)
10050    tcp    590428        zabbix_agent2                 zabbix-agent
10248    tcp    1068          kubelet                       (unknown)
10249    tcp    1907          kube-proxy                    (unknown)
10250    tcp    1068          kubelet                       (unknown)
10256    tcp    1907          kube-proxy                    (unknown)
40507    tcp    778           containerd                    (unknown)
